column,dtype,n_missing,pct_missing,n_unique,min,max,mean
Anonymize_ID,int64,0,0.0,116,1.0,117.0,57.1698
manufacturer,object,0,0.0,2,,,
Cohort_group,object,0,0.0,2,,,
patient_age,object,0,0.0,56,,,
sex,object,0,0.0,2,,,
weight,float64,4,1.89,56,55.0,140.0,86.2495
height,float64,6,2.83,35,150.0,191.0,171.6529
BMI,float64,6,2.83,107,20.04745,48.77305,29.2505
hip_side,object,0,0.0,2,,,
op_side,object,0,0.0,2,,,
Cement_vs_noCement_original,object,0,0.0,3,,,
Halldor_decision,object,0,0.0,2,,,
3d_surg,object,0,0.0,2,,,
notes,object,0,0.0,5,,,
zone_1_bmd,float64,0,0.0,39,1.61,2.18,1.72
zone_2_bmd,float64,0,0.0,56,1.66,2.18,1.9046
zone_3_bmd,float64,15,7.08,53,0.14,2.36,1.9262
zone_4_bmd,float64,66,31.13,46,0.0,2.24,1.7844
zone_5_bmd,float64,15,7.08,56,0.14,2.32,1.9176
zone_6_bmd,float64,0,0.0,54,1.61,2.25,1.8709
zone_7_bmd,float64,0,0.0,42,1.61,2.18,1.7367
cortical_area_mm2,float64,0,0.0,210,0.47,1143.11,624.44
cortical_thickness_mm,float64,1,0.47,167,0.74,11.7,8.8186
avg_outer_radius_mm,float64,1,0.47,167,1.22,20.21,15.8847
ray_inner_radius_mm,float64,1,0.47,171,0.27,12.52,7.0658
geometric_inner_R_mm,float64,11,5.19,162,1.16,13.75,7.7522
inner_radius_std_mm,float64,2,0.94,100,0.0,1.71,0.802
