scenario,ground_truth,feature_set,model,task_type,n_train,n_test,accuracy,precision,recall,f1,roc_auc,pr_auc,rmse,mae,r2,note
1,Majority vote,CT-only,Gradient Boosting,classification,157,43,0.6279,0.5882,0.5263,0.5556,0.7171,0.6117,,,,
1,Majority vote,CT-only,Logistic Regression,classification,157,43,0.6512,0.5909,0.6842,0.6341,0.6469,0.5766,,,,
1,Majority vote,CT-only,Random Forest,classification,157,43,0.6047,0.5714,0.4211,0.4848,0.7368,0.6309,,,,
1,Majority vote,CT-only,SVM (RBF),classification,157,43,0.6977,0.6875,0.5789,0.6286,0.6996,0.6071,,,,
2,Vote fraction,CT-only,Gradient Boosting Regressor,regression,158,42,0.4524,0.3333,0.2105,0.2581,0.4874,,0.3693,0.3167,-0.2108,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
2,Vote fraction,CT-only,Linear Regression,regression,158,42,0.619,0.7143,0.2632,0.3846,0.643,,0.3173,0.2544,0.106,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
2,Vote fraction,CT-only,Random Forest Regressor,regression,158,42,0.5238,0.4444,0.2105,0.2857,0.5195,,0.3524,0.3005,-0.1029,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
2,Vote fraction,CT-only,SVR (RBF),regression,158,42,0.4762,0.3333,0.1579,0.2143,0.4622,,0.3789,0.3168,-0.2749,precision/recall/F1/accuracy/ROC-AUC computed at 0.5 vote-fraction threshold
3,Majority vote,CT + demographics,Gradient Boosting,classification,157,43,0.6279,0.5789,0.5789,0.5789,0.6754,0.6437,,,,
3,Majority vote,CT + demographics,Logistic Regression,classification,157,43,0.6279,0.5789,0.5789,0.5789,0.7193,0.6869,,,,
3,Majority vote,CT + demographics,Random Forest,classification,157,43,0.6512,0.625,0.5263,0.5714,0.7237,0.6574,,,,
3,Majority vote,CT + demographics,SVM (RBF),classification,157,43,0.6977,0.65,0.6842,0.6667,0.7566,0.7392,,,,
4,Majority vote,Demographics-only,Gradient Boosting,classification,157,43,0.5581,0.5,0.4737,0.4865,0.4978,0.4374,,,,
4,Majority vote,Demographics-only,Logistic Regression,classification,157,43,0.6047,0.5556,0.5263,0.5405,0.7061,0.7014,,,,
4,Majority vote,Demographics-only,Random Forest,classification,157,43,0.5581,0.5,0.4737,0.4865,0.6425,0.598,,,,
4,Majority vote,Demographics-only,SVM (RBF),classification,157,43,0.5814,0.52,0.6842,0.5909,0.6009,0.6105,,,,
5,Halldor+3D agree (2/3),CT-only,Gradient Boosting,classification,119,31,0.7742,0.7778,0.5833,0.6667,0.7325,0.713,,,,
5,Halldor+3D agree (2/3),CT-only,Logistic Regression,classification,119,31,0.7419,0.8333,0.4167,0.5556,0.8421,0.8246,,,,
5,Halldor+3D agree (2/3),CT-only,Random Forest,classification,119,31,0.7419,0.8333,0.4167,0.5556,0.886,0.8423,,,,
5,Halldor+3D agree (2/3),CT-only,SVM (RBF),classification,119,31,0.7419,0.8333,0.4167,0.5556,0.7851,0.7339,,,,
6,Original surgeon only,CT + demographics,Gradient Boosting,classification,161,39,0.6923,0.6154,0.8889,0.7273,0.7407,0.7002,,,,
6,Original surgeon only,CT + demographics,Logistic Regression,classification,161,39,0.7179,0.6522,0.8333,0.7317,0.7963,0.8197,,,,
6,Original surgeon only,CT + demographics,Random Forest,classification,161,39,0.7436,0.6818,0.8333,0.75,0.6852,0.5819,,,,
6,Original surgeon only,CT + demographics,SVM (RBF),classification,161,39,0.641,0.5769,0.8333,0.6818,0.7063,0.7016,,,,
7,Unanimous (3/3),CT-only,Gradient Boosting,classification,68,19,0.6316,0.5714,0.5,0.5333,0.8295,0.7993,,,,
7,Unanimous (3/3),CT-only,Logistic Regression,classification,68,19,0.8421,1.0,0.625,0.7692,0.9773,0.975,,,,
7,Unanimous (3/3),CT-only,Random Forest,classification,68,19,0.7368,0.8,0.5,0.6154,0.9432,0.9207,,,,
7,Unanimous (3/3),CT-only,SVM (RBF),classification,68,19,0.8421,1.0,0.625,0.7692,0.8977,0.8966,,,,
8,Unanimous (3/3),Demographics-only,Gradient Boosting,classification,68,19,0.6842,0.6667,0.5,0.5714,0.7045,0.7105,,,,
8,Unanimous (3/3),Demographics-only,Logistic Regression,classification,68,19,0.8421,0.8571,0.75,0.8,0.8864,0.8461,,,,
8,Unanimous (3/3),Demographics-only,Random Forest,classification,68,19,0.6842,0.6667,0.5,0.5714,0.8636,0.8042,,,,
8,Unanimous (3/3),Demographics-only,SVM (RBF),classification,68,19,0.8421,0.7273,1.0,0.8421,0.9091,0.8875,,,,
9,Unanimous (3/3),CT + demographics,Gradient Boosting,classification,68,19,0.6842,1.0,0.25,0.4,0.7045,0.7105,,,,
9,Unanimous (3/3),CT + demographics,Logistic Regression,classification,68,19,0.8421,0.8571,0.75,0.8,0.9432,0.9068,,,,
9,Unanimous (3/3),CT + demographics,Random Forest,classification,68,19,0.7895,1.0,0.5,0.6667,0.8864,0.8659,,,,
