experiment_key,experiment,model,accuracy,roc_auc,pr_auc,f1
majority_ct_only,Majority: CT-only,Logistic Regression,0.6341,0.7405,0.7539,0.5714
majority_ct_only,Majority: CT-only,Random Forest,0.5854,0.6143,0.71,0.5405
majority_ct_only,Majority: CT-only,Gradient Boosting,0.6829,0.6952,0.7736,0.6829
majority_ct_only,Majority: CT-only,SVM (RBF),0.6829,0.6905,0.7719,0.6286
majority_ct_plus_demo,Majority: CT + demographics,Logistic Regression,0.7561,0.869,0.878,0.75
majority_ct_plus_demo,Majority: CT + demographics,Random Forest,0.6341,0.6833,0.7567,0.6154
majority_ct_plus_demo,Majority: CT + demographics,Gradient Boosting,0.7073,0.7214,0.8067,0.7
majority_ct_plus_demo,Majority: CT + demographics,SVM (RBF),0.7317,0.7738,0.8342,0.6857
majority_demo_only,Majority: demographics-only,Logistic Regression,0.6829,0.7857,0.7673,0.6486
majority_demo_only,Majority: demographics-only,Random Forest,0.6341,0.6786,0.697,0.5161
majority_demo_only,Majority: demographics-only,Gradient Boosting,0.5366,0.5833,0.6601,0.4571
majority_demo_only,Majority: demographics-only,SVM (RBF),0.7317,0.7452,0.7574,0.7179
