scenario,analysis_variant,best_model,best_test_roc_auc,target_col,n_features,importance_method,importance_csv,importance_figure
scenario1_majority_ct_only,,Random Forest,0.7368,gt_majority,22,permutation_importance_test_auc,results_feature_importance_best_model/scenario1_majority_ct_only_best_model_importance.csv,results_feature_importance_best_model/figures/scenario1_majority_ct_only_top15_importance.png
scenario3_majority_ct_plus_demo,majority_with_demographics_same_split,SVM (RBF),0.7566,gt_majority,27,permutation_importance_test_auc,results_feature_importance_best_model/scenario3_majority_ct_plus_demo_best_model_importance.csv,results_feature_importance_best_model/figures/scenario3_majority_ct_plus_demo_top15_importance.png
scenario4_majority_demo_only,majority_demographics_only_same_split,Logistic Regression,0.7061,gt_majority,5,permutation_importance_test_auc,results_feature_importance_best_model/scenario4_majority_demo_only_best_model_importance.csv,results_feature_importance_best_model/figures/scenario4_majority_demo_only_top15_importance.png
scenario5_h3d_agree_ct_only,scenario5_h3d_agreement_ct_only,Random Forest,0.886,gt_h3d_agree,22,permutation_importance_test_auc,results_feature_importance_best_model/scenario5_h3d_agree_ct_only_best_model_importance.csv,results_feature_importance_best_model/figures/scenario5_h3d_agree_ct_only_top15_importance.png
scenario6_original_ct_plus_demo,scenario6_original_ct_plus_demo,Logistic Regression,0.7963,gt_original,27,permutation_importance_test_auc,results_feature_importance_best_model/scenario6_original_ct_plus_demo_best_model_importance.csv,results_feature_importance_best_model/figures/scenario6_original_ct_plus_demo_top15_importance.png
scenario7_unanimous_ct_only,scenario7_unanimous_ct_only,Logistic Regression,0.9773,gt_unanimous,22,permutation_importance_test_auc,results_feature_importance_best_model/scenario7_unanimous_ct_only_best_model_importance.csv,results_feature_importance_best_model/figures/scenario7_unanimous_ct_only_top15_importance.png
scenario8_unanimous_demo_only,scenario8_unanimous_demographics_only,SVM (RBF),0.9091,gt_unanimous,5,permutation_importance_test_auc,results_feature_importance_best_model/scenario8_unanimous_demo_only_best_model_importance.csv,results_feature_importance_best_model/figures/scenario8_unanimous_demo_only_top15_importance.png
scenario9_unanimous_ct_plus_demo,scenario9_unanimous_ct_plus_demo,Logistic Regression,0.9432,gt_unanimous,27,permutation_importance_test_auc,results_feature_importance_best_model/scenario9_unanimous_ct_plus_demo_best_model_importance.csv,results_feature_importance_best_model/figures/scenario9_unanimous_ct_plus_demo_top15_importance.png
scenario10_original_ct_only,scenario10_original_ct_only,SVM (RBF),0.5503,gt_original,22,permutation_importance_test_auc,results_feature_importance_best_model/scenario10_original_ct_only_best_model_importance.csv,results_feature_importance_best_model/figures/scenario10_original_ct_only_top15_importance.png
scenario11_original_demo_only,scenario11_original_demographics_only,Logistic Regression,0.8095,gt_original,5,permutation_importance_test_auc,results_feature_importance_best_model/scenario11_original_demo_only_best_model_importance.csv,results_feature_importance_best_model/figures/scenario11_original_demo_only_top15_importance.png
