feature,importance,importance_std,abs_importance,method
ray_inner_radius_mm,0.11881886714707102,0.0,0.11881886714707102,native_tree_importance
zones_1_7_avg_to_cortical_thickness_mm,0.08974845253950048,0.0,0.08974845253950048,native_tree_importance
geometric_inner_R_mm,0.07220903043778337,0.0,0.07220903043778337,native_tree_importance
cortical_thickness_mm,0.07172290807171411,0.0,0.07172290807171411,native_tree_importance
zones_2_6_avg_to_cortical_thickness_mm,0.05937235483515729,0.0,0.05937235483515729,native_tree_importance
bmd_range,0.052456286836219716,0.0,0.052456286836219716,native_tree_importance
zone_3_bmd,0.05010047415395598,0.0,0.05010047415395598,native_tree_importance
bmd_std,0.04386955152462676,0.0,0.04386955152462676,native_tree_importance
zones_1_7_avg_to_cortical_area_mm2,0.04300711042591601,0.0,0.04300711042591601,native_tree_importance
cortical_area_mm2,0.041840508358427606,0.0,0.041840508358427606,native_tree_importance
zones_2_6_avg_to_cortical_area_mm2,0.041577593804797176,0.0,0.041577593804797176,native_tree_importance
avg_outer_radius_mm,0.040837358779877375,0.0,0.040837358779877375,native_tree_importance
inner_radius_std_mm,0.036993628712576596,0.0,0.036993628712576596,native_tree_importance
zone_4_bmd,0.03614218365004806,0.0,0.03614218365004806,native_tree_importance
zone_5_bmd,0.03458379348469651,0.0,0.03458379348469651,native_tree_importance
zones_2_6_avg,0.03274640037884613,0.0,0.03274640037884613,native_tree_importance
zone_1_bmd,0.028816201288043436,0.0,0.028816201288043436,native_tree_importance
zone_2_bmd,0.027254081266937156,0.0,0.027254081266937156,native_tree_importance
bmd_mean,0.026875323138012556,0.0,0.026875323138012556,native_tree_importance
zone_6_bmd,0.02271280642418547,0.0,0.02271280642418547,native_tree_importance
zones_1_7_avg,0.016567018020683312,0.0,0.016567018020683312,native_tree_importance
zone_7_bmd,0.011748066720923867,0.0,0.011748066720923867,native_tree_importance
