feature,importance,importance_std,abs_importance,method
patient_age_years,0.11359649122807015,0.03282839313637956,0.11359649122807015,permutation_importance_test_auc
ray_inner_radius_mm,0.041301169590643234,0.02402347526847936,0.041301169590643234,permutation_importance_test_auc
avg_outer_radius_mm,0.028143274853801144,0.015162623181792052,0.028143274853801144,permutation_importance_test_auc
geometric_inner_R_mm,0.02653508771929822,0.016197913341997532,0.02653508771929822,permutation_importance_test_auc
weight,-0.018128654970760254,0.022831839094576097,0.018128654970760254,permutation_importance_test_auc
zones_1_7_avg_to_cortical_thickness_mm,-0.014839181286549733,0.020373765654345857,0.014839181286549733,permutation_importance_test_auc
BMI,-0.01337719298245618,0.013162158178672147,0.01337719298245618,permutation_importance_test_auc
zone_2_bmd,0.011988304093567218,0.011349022628699048,0.011988304093567218,permutation_importance_test_auc
bmd_range,-0.01169590643274857,0.012015907459623935,0.01169590643274857,permutation_importance_test_auc
zones_1_7_avg,-0.008918128654970802,0.004632450151390307,0.008918128654970802,permutation_importance_test_auc
zones_2_6_avg_to_cortical_thickness_mm,-0.008771929824561446,0.01778885946550286,0.008771929824561446,permutation_importance_test_auc
zones_2_6_avg,0.008698830409356673,0.008979334119509077,0.008698830409356673,permutation_importance_test_auc
zone_7_bmd,-0.008040935672514656,0.008113705804392744,0.008040935672514656,permutation_importance_test_auc
zones_2_6_avg_to_cortical_area_mm2,0.007967836257309924,0.010705758126847046,0.007967836257309924,permutation_importance_test_auc
inner_radius_std_mm,0.007675438596491213,0.006835870228512299,0.007675438596491213,permutation_importance_test_auc
bmd_std,0.00562865497076022,0.012657180101919102,0.00562865497076022,permutation_importance_test_auc
zone_4_bmd,-0.005482456140350922,0.008200503391475563,0.005482456140350922,permutation_importance_test_auc
zone_3_bmd,0.005116959064327464,0.008404843480587601,0.005116959064327464,permutation_importance_test_auc
zone_6_bmd,0.0036549707602338776,0.006872900159966772,0.0036549707602338776,permutation_importance_test_auc
zone_5_bmd,-0.0024122807017544026,0.006611760277053211,0.0024122807017544026,permutation_importance_test_auc
cortical_thickness_mm,0.0016081871345028993,0.022082315822169532,0.0016081871345028993,permutation_importance_test_auc
height,0.0010964912280701437,0.010799186186179947,0.0010964912280701437,permutation_importance_test_auc
bmd_mean,-0.0006578947368421314,0.006409864265771306,0.0006578947368421314,permutation_importance_test_auc
zones_1_7_avg_to_cortical_area_mm2,0.0005847953216373917,0.010816737609996437,0.0005847953216373917,permutation_importance_test_auc
sex_binary,-0.0003654970760234207,0.013207549258250658,0.0003654970760234207,permutation_importance_test_auc
zone_1_bmd,0.00029239766081868846,0.007548731370424305,0.00029239766081868846,permutation_importance_test_auc
cortical_area_mm2,7.309941520465084e-05,0.010199660707792456,7.309941520465084e-05,permutation_importance_test_auc
