feature,importance,importance_std,abs_importance,method
patient_age_years,0.3220458553791887,0.0733491020064893,0.3220458553791887,permutation_importance_test_auc
height,-0.03253968253968255,0.01649501484054876,0.03253968253968255,permutation_importance_test_auc
BMI,-0.020194003527336888,0.013497825883840705,0.020194003527336888,permutation_importance_test_auc
zones_2_6_avg_to_cortical_thickness_mm,-0.01340388007054675,0.021273233794279013,0.01340388007054675,permutation_importance_test_auc
zones_1_7_avg_to_cortical_thickness_mm,-0.012786596119929484,0.0172544559916251,0.012786596119929484,permutation_importance_test_auc
sex_binary,-0.012610229276895979,0.01765012715199866,0.012610229276895979,permutation_importance_test_auc
zones_1_7_avg_to_cortical_area_mm2,0.010405643738977021,0.007386381513711441,0.010405643738977021,permutation_importance_test_auc
avg_outer_radius_mm,0.00970017636684299,0.007043642168506478,0.00970017636684299,permutation_importance_test_auc
zones_2_6_avg_to_cortical_area_mm2,0.009171075837742479,0.006287669654312469,0.009171075837742479,permutation_importance_test_auc
zones_2_6_avg,0.00776014109347439,0.0022585976146147755,0.00776014109347439,permutation_importance_test_auc
zone_2_bmd,0.007671957671957641,0.007524583414459206,0.007671957671957641,permutation_importance_test_auc
bmd_std,0.007407407407407374,0.003085159732722391,0.007407407407407374,permutation_importance_test_auc
inner_radius_std_mm,-0.007054673721340402,0.009121764050078128,0.007054673721340402,permutation_importance_test_auc
zone_4_bmd,0.007054673721340362,0.008234650814764547,0.007054673721340362,permutation_importance_test_auc
weight,0.005820105820105807,0.013871451218508433,0.005820105820105807,permutation_importance_test_auc
cortical_area_mm2,-0.0038800705467372464,0.0072525168236162625,0.0038800705467372464,permutation_importance_test_auc
geometric_inner_R_mm,-0.003615520282186979,0.01495716651390984,0.003615520282186979,permutation_importance_test_auc
ray_inner_radius_mm,0.0036155202821869163,0.0074037321864382135,0.0036155202821869163,permutation_importance_test_auc
bmd_range,0.002998236331569622,0.0016355588175477284,0.002998236331569622,permutation_importance_test_auc
zone_3_bmd,0.0009700176366842728,0.010437356392693348,0.0009700176366842728,permutation_importance_test_auc
cortical_thickness_mm,-0.0006172839506172904,0.0014782235109559421,0.0006172839506172904,permutation_importance_test_auc
zone_7_bmd,0.0005291005291005161,0.004006284547301785,0.0005291005291005161,permutation_importance_test_auc
zone_1_bmd,-0.0003527336860670379,0.0035971918967144982,0.0003527336860670379,permutation_importance_test_auc
bmd_mean,-0.00035273368606702306,0.0032568228064584408,0.00035273368606702306,permutation_importance_test_auc
zone_5_bmd,0.00026455026455025253,0.004003371944555978,0.00026455026455025253,permutation_importance_test_auc
zone_6_bmd,-8.818342151677058e-05,0.0040688790106029465,8.818342151677058e-05,permutation_importance_test_auc
zones_1_7_avg,-1.850371707708594e-17,0.0035493142499996677,1.850371707708594e-17,permutation_importance_test_auc
