feature,importance,importance_std,abs_importance,method
bmd_range,0.0950757575757575,0.0357528405955663,0.0950757575757575,permutation_importance_test_auc
zone_7_bmd,0.07007575757575751,0.02559272110849829,0.07007575757575751,permutation_importance_test_auc
cortical_area_mm2,0.05075757575757569,0.031564646448484314,0.05075757575757569,permutation_importance_test_auc
cortical_thickness_mm,0.03787878787878783,0.020186231203748843,0.03787878787878783,permutation_importance_test_auc
zones_1_7_avg_to_cortical_thickness_mm,0.03712121212121205,0.01631868123374093,0.03712121212121205,permutation_importance_test_auc
zones_1_7_avg,0.03484848484848479,0.012073770795840318,0.03484848484848479,permutation_importance_test_auc
ray_inner_radius_mm,0.030303030303030255,0.016423851052029384,0.030303030303030255,permutation_importance_test_auc
zone_4_bmd,0.028030303030302975,0.007613542137212821,0.028030303030302975,permutation_importance_test_auc
geometric_inner_R_mm,0.02121212121212117,0.02323918431845147,0.02121212121212117,permutation_importance_test_auc
zone_1_bmd,0.015909090909090866,0.009090909090909075,0.015909090909090866,permutation_importance_test_auc
zone_2_bmd,0.014772727272727208,0.03713087381995755,0.014772727272727208,permutation_importance_test_auc
zones_2_6_avg,-0.01022727272727281,0.012906609876818818,0.01022727272727281,permutation_importance_test_auc
zones_2_6_avg_to_cortical_thickness_mm,-0.007575757575757643,0.00535686955444359,0.007575757575757643,permutation_importance_test_auc
inner_radius_std_mm,-0.007196969696969783,0.00802637125015802,0.007196969696969783,permutation_importance_test_auc
zone_3_bmd,-0.0053030303030303875,0.02069166709658738,0.0053030303030303875,permutation_importance_test_auc
zones_2_6_avg_to_cortical_area_mm2,-0.004545454545454597,0.007537783614444134,0.004545454545454597,permutation_importance_test_auc
bmd_std,-0.002651515151515234,0.02569343618501762,0.002651515151515234,permutation_importance_test_auc
bmd_mean,-0.002651515151515175,0.004806279371382437,0.002651515151515175,permutation_importance_test_auc
avg_outer_radius_mm,-0.0011363636363637168,0.012221413488561905,0.0011363636363637168,permutation_importance_test_auc
zone_6_bmd,0.0,0.0,0.0,permutation_importance_test_auc
zone_5_bmd,0.0,0.0,0.0,permutation_importance_test_auc
zones_1_7_avg_to_cortical_area_mm2,0.0,0.0,0.0,permutation_importance_test_auc
