feature,importance,importance_std,abs_importance,method
sex_binary,0.10833333333333327,0.04627417592144077,0.10833333333333327,permutation_importance_test_auc
patient_age_years,0.09393939393939389,0.06619148836000842,0.09393939393939389,permutation_importance_test_auc
zones_2_6_avg_to_cortical_thickness_mm,-0.01666666666666667,0.011638099617982756,0.01666666666666667,permutation_importance_test_auc
zone_3_bmd,-0.012121212121212133,0.014050937114387456,0.012121212121212133,permutation_importance_test_auc
zone_2_bmd,-0.010984848484848497,0.015381773109278017,0.010984848484848497,permutation_importance_test_auc
weight,-0.010606060606060615,0.017091688140421953,0.010606060606060615,permutation_importance_test_auc
BMI,-0.010606060606060603,0.010952145677879522,0.010606060606060603,permutation_importance_test_auc
avg_outer_radius_mm,-0.008333333333333333,0.015782323224242164,0.008333333333333333,permutation_importance_test_auc
zones_2_6_avg,-0.008333333333333326,0.007725787141807242,0.008333333333333326,permutation_importance_test_auc
bmd_std,-0.007954545454545485,0.03121037432593109,0.007954545454545485,permutation_importance_test_auc
cortical_area_mm2,-0.006818181818181812,0.006943296507508841,0.006818181818181812,permutation_importance_test_auc
geometric_inner_R_mm,0.006818181818181812,0.015132563905634971,0.006818181818181812,permutation_importance_test_auc
inner_radius_std_mm,-0.006818181818181812,0.006292896865847021,0.006818181818181812,permutation_importance_test_auc
cortical_thickness_mm,-0.006060606060606055,0.005669177858748392,0.006060606060606055,permutation_importance_test_auc
ray_inner_radius_mm,0.006060606060606048,0.016528351688841994,0.006060606060606048,permutation_importance_test_auc
zone_5_bmd,-0.0049242424242424195,0.00563108664671155,0.0049242424242424195,permutation_importance_test_auc
zone_1_bmd,-0.004545454545454542,0.00629289686584702,0.004545454545454542,permutation_importance_test_auc
bmd_mean,-0.0037878787878787845,0.0053568695544435364,0.0037878787878787845,permutation_importance_test_auc
zone_6_bmd,-0.0037878787878787845,0.0053568695544435364,0.0037878787878787845,permutation_importance_test_auc
zones_1_7_avg_to_cortical_area_mm2,-0.003409090909090906,0.005207472380631632,0.003409090909090906,permutation_importance_test_auc
zones_2_6_avg_to_cortical_area_mm2,-0.002651515151515149,0.004806279371382389,0.002651515151515149,permutation_importance_test_auc
height,-0.0011363636363636428,0.014478420343648784,0.0011363636363636428,permutation_importance_test_auc
zone_4_bmd,-0.0011363636363636354,0.003409090909090906,0.0011363636363636354,permutation_importance_test_auc
zones_1_7_avg_to_cortical_thickness_mm,-0.0007575757575757569,0.0028345889293741955,0.0007575757575757569,permutation_importance_test_auc
zone_7_bmd,-0.00037878787878787846,0.014218427559942005,0.00037878787878787846,permutation_importance_test_auc
zones_1_7_avg,0.00037878787878787846,0.012951000755514199,0.00037878787878787846,permutation_importance_test_auc
bmd_range,0.0,0.0,0.0,permutation_importance_test_auc
