scenario_number,scenario,model,repeats,roc_auc_mean,roc_auc_std,roc_auc_median,roc_auc_ci95_lower,roc_auc_ci95_upper,accuracy_mean,accuracy_ci95_lower,accuracy_ci95_upper,precision_mean,precision_ci95_lower,precision_ci95_upper,recall_mean,recall_ci95_lower,recall_ci95_upper,f1_mean,f1_ci95_lower,f1_ci95_upper,rmse_mean,rmse_ci95_lower,rmse_ci95_upper
1,scenario1_majority_ct_only,Logistic Regression,30,0.7101984379332946,0.09037609525987922,0.7090152093012505,0.5598016781083143,0.8842288011695907,0.6451392254780618,0.5321656976744186,0.7984795321637427,0.6386384192825167,0.4940217391304348,0.9093749999999998,0.5047177789244353,0.2737573099415205,0.8083333333333331,0.5511271337534352,0.35375615763546797,0.7686486486486487,,,
1,scenario1_majority_ct_only,Random Forest,30,0.6769017710862015,0.0786429531820701,0.6864386903086593,0.5621984649122806,0.815844298245614,0.6022344930905399,0.47228197674418604,0.7204887218045113,0.5718533390127817,0.40029761904761907,0.7881944444444442,0.47832258341933265,0.2631578947368421,0.7276041666666665,0.5127246969811076,0.3172043010752688,0.6895833333333332,,,
1,scenario1_majority_ct_only,SVM (RBF),30,0.6758841121982236,0.07088585963841562,0.6674294431731502,0.5511296356834114,0.7932166666666666,0.6279665614663525,0.48469476744186046,0.7272916666666667,0.6188975449501765,0.43504464285714284,0.7564393939393939,0.46473469212246304,0.29005847953216374,0.6819444444444444,0.5224662068825846,0.359875,0.6903861003861004,,,
1,scenario1_majority_ct_only,Gradient Boosting,30,0.612490821904581,0.07971283961458325,0.608744082428293,0.49601449275362314,0.7963444444444444,0.5893716718774187,0.4815087918321044,0.6959899749373433,0.5530664771357328,0.38593750000000004,0.7335227272727273,0.4583159901387456,0.22134502923976607,0.747048611111111,0.4919990794131652,0.28397435897435896,0.6765765765765765,,,
2,scenario2_vote_fraction_ct_only,Linear Regression,30,0.6636025758731563,0.08845259537320055,0.6932446605644546,0.4628555650902619,0.7867881944444445,0.6127241219830855,0.46768292682926826,0.709051268498943,0.5925988377807264,0.3736111111111111,0.8398809523809524,0.48634617589725954,0.3140350877192982,0.6366447368421052,0.526674598580915,0.3303763440860215,0.6412280701754385,0.3204525212807259,0.2756071193785702,0.36953878935914247
2,scenario2_vote_fraction_ct_only,Random Forest Regressor,30,0.6712463032987362,0.0789764296710572,0.6796243386243386,0.5296570419103314,0.7812850140056022,0.6128353272417666,0.5204595791805094,0.7256506090808416,0.5946785608649587,0.4441287878787879,0.8157142857142856,0.4353812636165577,0.2519005847953216,0.6666666666666666,0.49467306177346193,0.3184863523573201,0.6588416988416989,0.31892767698968333,0.26455072549621694,0.3705506440344329
2,scenario2_vote_fraction_ct_only,Gradient Boosting Regressor,30,0.637199236149908,0.09245502499056014,0.6538996948893974,0.43605933235867445,0.7680078820239002,0.5892485427961739,0.4651098901098901,0.6737179487179487,0.5503788178052884,0.37051282051282053,0.7039285714285713,0.4306071551427589,0.2222222222222222,0.6263888888888889,0.47734675758089,0.28814814814814815,0.631578947368421,0.33672352859055815,0.27416408296140415,0.38998248797994567
2,scenario2_vote_fraction_ct_only,SVR (RBF),30,0.6127914139214427,0.09616242950549327,0.6339181286549708,0.4545354864433811,0.7831755050505051,0.5877380652902341,0.45670731707317075,0.6689583333333333,0.5625488129861195,0.3553030303030303,0.7729166666666666,0.38446336429308564,0.19083333333333335,0.6545833333333333,0.44539873658308565,0.26009817671809254,0.6490202702702703,0.34020951919246645,0.28471705230287536,0.3923136102071124
3,scenario3_majority_ct_plus_demo,Logistic Regression,30,0.7424230748051248,0.10275416176858425,0.7516671289554584,0.555385746976136,0.9000138888888889,0.6757659204118589,0.5252906976744186,0.8283333333333333,0.6685914606835659,0.45176767676767676,0.901111111111111,0.5535708347666551,0.2554953560371517,0.839722222222222,0.592476364424725,0.3262820512820513,0.8,,,
3,scenario3_majority_ct_plus_demo,Random Forest,30,0.6759231638485935,0.08627481067214025,0.6721687530847579,0.5269580200501254,0.8179555555555555,0.6168154501667205,0.4842835365853658,0.7576461988304093,0.601351022334331,0.4441287878787879,0.8299999999999998,0.46490640408210065,0.21900584795321637,0.8083333333333331,0.5111737374345748,0.3184863523573201,0.7351469668542838,,,
