scenario_number,scenario,split_stratification_mode,model_rows
1,scenario1_majority_ct_only,target_plus_cohort,120
2,scenario2_vote_fraction_ct_only,target_plus_cohort,120
3,scenario3_majority_ct_plus_demo,target_plus_cohort,120
4,scenario4_majority_demo_only,target_plus_cohort,120
5,scenario5_h3d_agree_ct_only,target_plus_cohort,120
6,scenario6_original_ct_plus_demo,target_plus_cohort,120
7,scenario7_unanimous_ct_only,target_plus_cohort,120
8,scenario8_unanimous_demo_only,target_plus_cohort,120
9,scenario9_unanimous_ct_plus_demo,target_plus_cohort,120
10,scenario10_original_ct_only,target_plus_cohort,120
11,scenario11_original_demo_only,target_plus_cohort,120
12,scenario12_vote_fraction_demo_only,target_plus_cohort,120
13,scenario13_vote_fraction_ct_plus_demo,target_plus_cohort,120
