scenario,model,repeats,roc_auc_mean,roc_auc_std,roc_auc_median,roc_auc_p05,roc_auc_p95,acc_mean,acc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std
scenario1_majority_ct_only,Logistic Regression,10,0.7629690508952119,0.09018940609447859,0.7568649885583524,0.6384928246660984,0.891264619883041,0.6931635555867577,0.08399160751674518,0.7609274989298136,0.0824341519370326,0.6011528450594665,0.14264188350171916
scenario1_majority_ct_only,SVM (RBF),10,0.7126070114900778,0.06558719942167111,0.7186890838206628,0.6229899930986887,0.8076754385964912,0.6685046243457444,0.029788307894710722,0.7089753909323785,0.05264148599310084,0.5843885826238767,0.06711395145877236
scenario1_majority_ct_only,Random Forest,10,0.7377653276769645,0.05925259412616907,0.7110533731672175,0.6839331785345717,0.8224780701754386,0.6503368526469103,0.05092086491929009,0.6905570412719538,0.09025885639577398,0.5739262045144399,0.09288227089227455
scenario1_majority_ct_only,Gradient Boosting,10,0.6418160446227816,0.06008411774392669,0.633954678362573,0.58316647597254,0.7421437198067632,0.6115906131662767,0.051642591395387204,0.6156908193268485,0.07185008670252485,0.5154020372016976,0.1001772577248381
scenario3_majority_ct_plus_demo,Logistic Regression,10,0.807175335860253,0.08904479934991195,0.8220347063310449,0.6759645944571573,0.9125694444444444,0.7321084949090443,0.06901887503838204,0.7818745200441964,0.10666984778571474,0.6575028378749309,0.13822582086966773
scenario3_majority_ct_plus_demo,SVM (RBF),10,0.7103403988801216,0.06911599986149267,0.7296176470588236,0.6199016563146997,0.7955927409102466,0.6657748014027681,0.07649223982828796,0.68732749810186,0.07609138016555798,0.5618004829048473,0.1532915491860345
scenario3_majority_ct_plus_demo,Random Forest,10,0.7294991084559936,0.0531262769669175,0.7138157894736842,0.6688725490196078,0.7984920634920635,0.6737549973950249,0.06132012201818629,0.6692847248139893,0.0697770211457755,0.5788211014231692,0.13611350545628784
scenario3_majority_ct_plus_demo,Gradient Boosting,10,0.6485535925277816,0.09264582956380103,0.6447368421052632,0.5251525553012967,0.774611111111111,0.6189726341101092,0.07423059772419066,0.6218201336914948,0.09389039709124586,0.5194537081195126,0.13996126472955486
scenario4_majority_demo_only,Logistic Regression,10,0.7175863295279973,0.12812908227526543,0.7229517029288197,0.5358250699211797,0.89595,0.6036338967610424,0.07743281685257619,0.679739953592029,0.13431818547037233,0.45586364996165357,0.18653845326611437
scenario4_majority_demo_only,SVM (RBF),10,0.6323665568083323,0.09277238093358914,0.639919011082694,0.4923960717009916,0.7452974828375286,0.6201398525182744,0.07321822663073706,0.5995334846452909,0.08854969434661007,0.49681178701585055,0.14062595491380284
scenario4_majority_demo_only,Random Forest,10,0.5831733768920739,0.06942795651574533,0.5988749046529367,0.4691409229595729,0.6571,0.5622307586964124,0.07599384004037979,0.5522828794739916,0.06920110973329743,0.42965177861729587,0.12675241129632664
scenario4_majority_demo_only,Gradient Boosting,10,0.5270160478633354,0.09332236663345424,0.5293236714975846,0.40469107551487415,0.6642019450800914,0.5351348815047057,0.06891186233976757,0.5093741710494448,0.0783711031812572,0.4102471030085132,0.11346966424502351
scenario5_h3d_agree_ct_only,Random Forest,10,0.8113153693571651,0.08067186186322606,0.8176398764634059,0.6819073083778966,0.9073254048582995,0.7163344854070661,0.08794058658438549,0.7737302108273411,0.09715986823516753,0.6132351255829517,0.10626901868542872
scenario5_h3d_agree_ct_only,Logistic Regression,10,0.8050245770669532,0.0783519960182478,0.8010486245780364,0.6977203097147949,0.903418100539811,0.7258035714285714,0.08626152923202735,0.7899647358711881,0.09397441023238495,0.6168524320835533,0.10064302912016479
scenario5_h3d_agree_ct_only,SVM (RBF),10,0.7671570690446464,0.08235089373211503,0.7659405867610203,0.6437513926024955,0.8620192307692307,0.6931336405529954,0.08946371208227613,0.7347868539719464,0.09238162585353021,0.560417675204053,0.12038865016798715
scenario5_h3d_agree_ct_only,Gradient Boosting,10,0.7768943145491133,0.0750320011654062,0.7627314814814815,0.6821314102564102,0.8898809523809524,0.7014074500768049,0.07393714626998397,0.7264429909385942,0.102015140155658,0.6135798042537173,0.1156187950692982
scenario6_original_ct_plus_demo,Logistic Regression,10,0.9065975214716634,0.059278073602788146,0.9166666666666667,0.8170112781954888,0.9857142857142857,0.832561124512344,0.071026383034858,0.8974708119842122,0.07913208814513652,0.8271389316738155,0.07285942454869727
scenario6_original_ct_plus_demo,Gradient Boosting,10,0.8503828246505591,0.08811878522747127,0.8673418972332017,0.7062280701754385,0.9532142857142857,0.778170880609905,0.0625748504320737,0.8358869962298862,0.08581951823482806,0.7650059670173845,0.06500982686815208
scenario6_original_ct_plus_demo,SVM (RBF),10,0.8683036642990876,0.07053697879130444,0.8671277997364955,0.7866179653679655,0.9758928571428571,0.8162881562881562,0.046798965735714494,0.8624174927521185,0.08436334614428567,0.8020480848579321,0.054918342146469554
scenario6_original_ct_plus_demo,Random Forest,10,0.8506880590805077,0.07725421040963927,0.8498517786561265,0.7484398496240602,0.9699675324675324,0.8069138449626255,0.06725054826991002,0.8219681187699102,0.10829317938725455,0.7901286840596669,0.0714584268836093
